CLAVE;or_fem;or_masc;dest_fem;dest_masc;POLIG;ETAPA;Cruce_C;Acera;Ubicacion;X_1;Y_1;Puertos;biciestacorta;len_confi;len_segre;transmas;paradatp;area_averde;pobocup;abarrotes;bancos;bares;comidacafe;gobierno;estmibici;puertmibici;recreat;edubascimed;educativo;hospitales;servmedic;universidad;superdepa;intersec
GDL-024;492;1056;441;935;Guadalajara Centro;1ra ETAPA;Av. Federalismo / C. Juan Manuel;Oriente;Banqueta;-103,354035;20,678777;15;0;1330,34923;0;0;11;0;1784;15;1;5;12;4;1;11;3;4;7;0;13;3;0;360
GDL-025;537;1570;565;1481;Guadalajara Centro;1ra ETAPA;C. Reforma / C. Gonz·lez Ortega;Sur;Arroyo Vehicular;-103,350146;20,680227;15;0;0;0;0;18;15485,2273;3335;78;1;4;43;4;2;30;5;10;4;0;10;2;2;318
GDL-026;539;1500;601;1401;Guadalajara Centro;1ra ETAPA;C. Pedro Loza / C. Reforma;Poniente;Andador;-103,348377;20,680478;15;0;0;939,1895588;0;14;27937,1667;3287;65;2;3;52;5;1;15;10;9;6;0;15;1;6;348
GDL-027;265;647;267;779;Guadalajara Centro;1ra ETAPA;C. BelÈn / C. San Felipe;Poniente;Arroyo Vehicular;-103,345198;20,679861;11;1;0;39,27106248;0;17;11296,7057;2115,5;19;2;1;28;14;1;11;2;5;7;0;1;4;1;352
GDL-028;426;894;410;847;Guadalajara Centro;1ra ETAPA;C. Gregorio D·vila / C. Manuel AcuÒa;Oriente;Arroyo Vehicular;-103,36113;20,684187;11;0;0;0;0;12;0;1230,5;15;0;0;12;0;0;0;3;4;1;0;7;1;1;246
GDL-029;223;699;321;965;Guadalajara Centro;1ra ETAPA;Calz. Independencia / C. Juan Manuel;Poniente;Banqueta;-103,339438;20,679899;15;0;0;0;1;9;95431,464;1276;14;5;8;29;2;1;11;2;2;2;1;2;0;2;216
GDL-030;402;1187;408;1131;Guadalajara Centro;1ra ETAPA;C. Pedro Moreno / C. Progreso;Sur;Arroyo Vehicular;-103,367501;20,675461;19;0;710,4254284;0;0;9;29543,7892;5183;3;15;13;41;4;2;38;2;1;8;1;14;4;3;198
GDL-031;596;1108;559;1150;Guadalajara Centro;1ra ETAPA;C. Hospital / C. AndrÈs Ter·n;Norte;Arroyo Vehicular;-103,368215;20,685652;11;0;0;0;0;6;0;2577;100;7;2;79;1;0;0;4;3;4;2;17;0;1;342
GDL-032;532;1711;692;2187;Guadalajara Centro;1ra ETAPA;C. Degollado / Av. Hidalgo;Oriente;Banqueta;-103,344908;20,6772627;15;0;0;0;0;5;121719,581;4668;17;9;2;61;17;1;15;7;3;5;0;2;1;2;336
GDL-033;813;2338;879;2438;Guadalajara Centro;1ra ETAPA;Av. Hidalgo / C. Pedro Loza;Norte;Banqueta;-103,347983;20,677419;15;2;0;959,6499834;1;2;148557,1455;8066;135;12;5;146;15;1;11;12;3;6;0;4;2;10;330
GDL-034;305;1143;286;1113;Guadalajara Centro;1ra ETAPA;C. Morelos / C. Donato Guerra;Sur;Banqueta;-103,350244;20,676461;11;2;110,8764778;0;1;7;58556,3345;8241,5;112;18;8;159;2;1;15;10;4;12;0;13;5;9;324
GDL-035;187;565;193;512;Guadalajara Centro;1ra ETAPA;C. Mezquit·n / Av. Hidalgo;Oriente;Banqueta;-103,3534145;20,677315;11;0;1394,884653;0;0;12;1635,1014;2635,5;13;6;14;32;4;2;38;2;3;9;0;11;4;4;366
GDL-036;819;1777;880;1596;Guadalajara Centro;1ra ETAPA;C. Marcos Castellanos / C. Morelos;Oriente;Arroyo Vehicular;-103,356458;20,676078;19;3;1266,098156;0;2;11;89868,5605;2706;9;8;18;38;5;2;54;5;1;9;3;15;5;6;342
GDL-037;262;731;285;603;Guadalajara Centro;1ra ETAPA;C. Juan N. Cumplido / C. Independencia;Oriete;Arroyo Vehicular;-103,358466;20,678034;15;0;452,9066515;0;0;12;4155,963;1622,5;14;7;6;24;1;1;15;5;4;9;2;12;4;1;306
GDL-038;303;705;313;602;Guadalajara Centro;1ra ETAPA;C. Nicol·s Romero / Av. Hidalgo;Poniente;Arroyo Vehicular;-103,362331;20,676656;15;0;490,2212571;0;0;12;1302,5354;2136,5;6;0;3;33;5;2;30;1;1;6;0;11;6;0;288
GDL-039;218;414;177;297;Guadalajara Centro;1ra ETAPA;C. General Coronado / Av. Hidalgo;Oriente;Arroyo Vehicular;-103,365088;20,677108;15;0;491,6178236;0;0;7;0;2320;6;1;5;30;2;3;41;2;2;4;1;16;3;0;258
GDL-040;431;1060;537;1262;Guadalajara Centro;1ra ETAPA;C. Morelos / C. Progreso;Sur;Arroyo Vehicular;-103,367049;20,676067;15;0;461,2944036;0;0;10;28124,183;4967;5;9;9;44;3;4;68;2;1;7;1;33;4;2;210
GDL-041;297;735;270;664;Guadalajara Centro;1ra ETAPA;C. Manuel M. DiÈguez / Av. Hidalgo;Poniente;Arroyo Vechiular;-103,37066;20,67671;15;0;492,9655313;0;0;9;24954,9108;6099;10;13;8;36;10;3;49;3;0;10;1;70;4;3;210
GDL-042;277;625;246;451;Guadalajara Centro;1ra ETAPA;C. Bernardo de Balbuena /Av Hidalgo;Poniente;Arroyo Vehicular;-103,372687;20,676628;15;0;494,9939185;0;0;12;0;3327,5;9;7;6;18;5;2;30;2;0;10;1;43;3;0;210
GDL-043;434;940;325;931;Guadalajara Centro;1ra ETAPA;C. SimÛn Bolivar / C. LÛpez Cotilla;Poniente;Arroyo Vehicular;-103,372613;20,673756;11;0;836,2538783;0;0;9;0;4841,5;6;14;4;38;2;3;49;4;0;12;0;21;6;3;210
GDL-044;290;757;325;693;Guadalajara Centro;1ra ETAPA;C. Gral. San MartÌn / Av. Vallarta;Oriente;Arroyo Vehicular;-103,371639;20,674636;15;0;623,1535931;0;0;8;0;5076;12;17;12;48;8;5;79;6;0;12;0;19;3;4;186
GDL-045;238;644;147;522;Guadalajara Centro;1ra ETAPA;C. Pedro Moreno / C. Marsella;Norte;Arroyo Vehicular;-103,370147;20,675444;19;0;696,3644303;0;0;10;23448,0778;7977,5;12;21;18;64;13;2;30;6;1;13;0;15;5;5;174
GDL-046;190;488;181;446;Guadalajara Centro;1ra ETAPA;C. Emerson / Av. Vallarta;Oriente;Arroyo Vehicular;-103,365025;20,675014;11;0;696,7340984;0;0;8;2536,3551;3280;5;4;3;35;7;4;68;1;1;8;0;15;4;1;288
GDL-047;486;1068;402;940;Guadalajara Centro;1ra ETAPA;C. Robles Gil / Av. Vallarta;Poniente;Arroyo Vehicular;-103,362351;20,674931;15;0;657,0795227;0;0;10;0;2331;7;1;4;32;5;2;30;0;0;11;0;15;8;0;270
GDL-048;1289;3042;1336;3078;Guadalajara Centro;1ra ETAPA;C. Constancio Hern·ndez A. / Av. Ju·rez;Oriente;Andador;-103,358548;20,674721;15;1;481,2891749;0;0;12;25477,6295;3788,5;13;2;21;54;14;2;54;7;4;19;2;22;14;3;324
GDL-049;1902;4551;3101;5790;Guadalajara Centro;1ra ETAPA;C. Lopez Cotilla / C. Marcos Castellanos;Sur;Arroyo Vehicular;-103,3563196;20,6740865;31;3;1113,04151;0;2;9;97352,1258;2715;8;8;16;55;6;4;72;3;6;10;0;8;3;5;342
GDL-050;1079;2862;1157;2662;Guadalajara Centro;1ra ETAPA;C. Pedro Moreno / Calz. Federalismo;Norte;Arroyo Vehicular;-103,354579;20,675746;23;3;1490,968634;0;2;12;96614,3553;4082,5;6;12;18;52;5;3;45;4;5;10;0;16;3;8;324
GDL-051;595;1686;613;1791;Guadalajara Centro;1ra ETAPA;C. 8 de Julio / Av. Ju·rez;Sur;Andador;-103,352663;20,674559;15;2;568,0058183;0;2;15;8406,1598;5115,5;11;10;22;63;3;2;34;6;7;17;0;23;7;10;342
GDL-052;838;2421;937;2652;Guadalajara Centro;1ra ETAPA;Av. Ju·rez / Av. 16 de Septiembre;Norte;Banqueta;-103,347889;20,675244;23;2;0;976,2161403;2;3;92157,2612;10071;41;29;5;107;9;2;38;15;1;12;0;9;6;15;336
GDL-053;113;440;129;416;Guadalajara Centro;1ra ETAPA;C. Maestranza / Av. Ju·rez;Oriente;Arroyo Vehicular;-103,345665;20,675401;15;1;0;729,3493558;1;3;100736,0253;7352;18;18;2;62;16;3;61;11;0;5;0;2;1;15;306
GDL-054;505;1804;630;2317;Guadalajara Centro;1ra ETAPA;Av. Ju·rez / Calz. Independencia;Norte;Banqueta;-103,342049;20,675421;23;1;0;0;2;4;66999,0808;6651;21;42;3;61;16;1;23;6;0;2;0;0;1;9;366
GDL-055;54;460;106;534;Guadalajara Centro;1ra ETAPA;C. Degollado / C.Prisciliano S·nchez;Poniente;Banqueta;-103,345366;20,672696;15;0;765,718288;574,2519294;0;8;46743,0359;3856;12;16;11;43;10;2;34;5;0;7;0;4;2;11;366
GDL-056;758;2128;889;2611;Guadalajara Centro;1ra ETAPA;Av. 16 de Septiembre / C. Miguel Blanco;Norte;Banqueta;-103,347422;20,671971;19;0;611,1524964;559,7813019;0;19;41836,2827;5156;18;22;17;65;8;4;56;7;6;9;0;8;5;11;398
GDL-057;147;796;165;863;Guadalajara Centro;1ra ETAPA;C. Ocampo / C. Prisciliano S·nchez;Poniente;Banqueta;-103,349573;20,672516;11;0;0;0;0;21;17612,274;4124,5;16;5;14;52;7;1;19;6;6;19;0;16;6;7;306
GDL-058;197;565;189;744;Guadalajara Centro;1ra ETAPA;C. Pavo / C. Prisciliano S·nchez;Poniente;Arroyo Vehicular;-103,353542;20,672641;11;0;923,4905106;0;0;13;462,1928;3266;9;4;12;31;1;3;41;2;4;12;3;29;6;2;354
GDL-059;289;576;279;536;Guadalajara Centro;1ra ETAPA;C. Miguel Blanco / C. Penitenciaria;Sur;Arroyo Vehicular;-103,355508;20,672231;15;0;1270,136151;0;0;9;3647,1318;2192,5;8;2;4;29;1;4;84;1;4;10;3;19;5;3;330
GDL-060;502;1028;472;1112;Guadalajara Centro;1ra ETAPA;C. Madero / C. Camarena;Sur;Arroyo Vehicular;-103,357684;20,6734;23;1;473,9371218;0;0;11;69032,193;3155,5;11;5;14;45;14;3;61;3;5;16;1;14;12;2;324
GDL-061;595;1266;659;1213;Guadalajara Centro;1ra ETAPA;C. Libertad / C. Argentina;Norte;Arroyo Vehicular;-103,361274;20,671778;19;0;603,7501601;0;0;7;241,055;2390,5;20;1;2;50;2;2;26;1;2;10;1;17;6;2;300
GDL-062;559;1153;512;1248;Guadalajara Centro;1ra ETAPA;C. Libertad / C. Mosc˙;Norte;Arroyo Vehicular;-103,365055;20,673072;15;0;886,3261153;0;0;7;2536,3551;3435,5;2;3;3;29;6;2;34;2;1;8;0;4;3;1;282
GDL-063;720;1569;749;1445;Guadalajara Centro;1ra ETAPA;C. Colonias / C. LÛpez Cotilla;Poniente;Arroyo Vehicular;-103,366139;20,674132;23;0;769,7593538;0;0;7;2536,9187;3853;6;10;4;51;6;4;60;2;1;8;0;8;4;3;264
GDL-064;773;1757;701;1750;Guadalajara Centro;1ra ETAPA;C. Marsella / C. LÛpez Cotilla;Poniente;Arroyo Vechiular;-103,370571;20,673321;19;0;929,0399889;0;0;6;6649,4662;6100,5;6;20;15;54;6;3;41;8;0;15;0;7;6;4;162
